,term,line,name,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y
1227,202109,경부선,남영,10510,26667,10200,9338,17931,11031,37.541021,126.9713
1228,202109,경부선,광명,7477,3959,3560,3068,4903,5443,37.416182,126.884466
1229,202109,경춘선,평내호평,17664,6346,7590,6810,5556,13791,37.653225,127.244493
1230,202109,경부선,금정,59788,45796,27645,23941,35320,49423,37.372221,126.943429
1231,202109,2호선,아현,23845,13917,14551,11230,11054,18572,37.557345,126.956141
1232,202109,7호선,이수,26052,23660,18781,18509,24844,25311,37.486263,126.981989
1233,202109,경의선,수색,3119,7800,2747,2357,5323,2428,37.580842,126.895611
1234,202109,일산선,지축,0,0,0,0,0,0,37.648048,126.913951
1235,202109,3호선,지축,13914,3321,5641,4048,2981,9786,37.648048,126.913951
1236,202109,공항철도 1호선,운서,14489,9119,8875,6896,7837,13676,37.492904,126.49379
1237,202109,안산선,중앙,34113,21444,20778,21619,24520,36168,37.315941,126.838573
1238,202109,3호선,구파발,55090,24140,26083,23461,19865,37928,37.636763,126.918821
1239,202109,우이신설선,화계,10131,3346,4940,4256,2582,6517,37.634802,127.017519
1240,202109,공항철도 1호선,영종,7124,2864,4427,3724,2911,6599,37.511466,126.5237
1241,202109,경부선,구로,28271,43902,20645,20396,30219,25320,37.503039,126.881966
1242,202109,6호선,신내,7,0,0,0,0,0,37.612887,127.103218
1243,202109,2호선,양천구청,20983,5724,7835,6736,4495,16710,37.512398,126.865819
1244,202109,3호선,잠원,9862,7082,6379,5497,6118,7727,37.512759,127.01122
1245,202109,일산선,주엽,19754,10311,12793,12139,8657,16122,37.670072,126.761334
1246,202109,공항철도 1호선,공항화물청사,1787,10764,1800,1703,6235,1152,37.458366,126.476241
1247,202109,경부선,군포,12802,23794,6632,5176,14506,9056,37.35356,126.948462
1248,202109,7호선,온수(성공회대입구),36579,9523,10011,7911,6932,22092,37.492258,126.823388
1249,202109,7호선,어린이대공원(세종대),19964,24821,14540,14723,21271,16531,37.548014,127.074658
1250,202109,2호선,교대(법원.검찰청),23138,97474,37267,44819,67707,32230,37.493415,127.01408
1251,202109,3호선,교대(법원.검찰청),8148,27812,15656,9113,29010,6948,37.493415,127.01408
1252,202109,7호선,광명사거리,63322,19715,27557,27357,20545,46996,37.479252,126.854876
1253,202109,공항철도 1호선,청라국제도시,15996,8573,6258,4459,7490,13184,37.555878,126.625327
1254,202109,중앙선,아신,1302,1027,1129,996,721,1067,37.51382,127.443173
1255,202109,5호선,양평,16517,16815,6523,5541,10794,11271,37.492832,127.491814
1256,202109,경춘선,신내,3958,3965,2365,1741,2404,2722,37.612887,127.103218
1257,202109,경부선,관악,21448,7084,8489,7083,6367,15074,37.419232,126.908706
1258,202109,6호선,동묘앞,9130,15854,14445,13324,12655,9574,37.572627,127.016429
1259,202109,경춘선,퇴계원,11921,3428,4309,3555,3033,7830,37.648311,127.143952
1260,202109,공항철도 1호선,인천공항2터미널,2662,5959,2749,3013,5071,1537,37.48632,126.43932
1261,202109,6호선,석계,36293,8864,14657,13285,9354,29367,37.614805,127.065851
1262,202109,경원선,석계,20756,6216,11469,11199,7552,21210,37.614805,127.065851
1263,202109,7호선,신풍,34377,12540,13394,11593,10095,23817,37.50008,126.90993
1264,202109,경의선,야당,17200,6050,8135,7680,7825,15988,37.712327,126.761356
1265,202109,경부선,금천구청,32128,16301,13211,12083,11849,24440,37.455626,126.89398
1266,202109,5호선,군자(능동),28015,13782,11603,12196,13714,25404,37.557121,127.079542
1267,202109,7호선,군자(능동),35626,16113,16107,12290,18456,23869,37.557121,127.079542
1268,202109,3호선,일원,15765,21177,14918,11115,11854,11386,37.483681,127.08439
1269,202109,공항철도 1호선,인천공항1터미널,4477,10616,4730,5964,8700,3294,37.44899,126.45811
1270,202109,2호선,역삼,16728,194576,42879,50467,122284,26607,37.500622,127.036456
1271,202109,우이신설선,솔샘,20014,3282,6798,5252,2881,13382,37.62124,127.013528
1272,202109,일산선,화정,39476,18064,22864,22113,17635,35235,37.634592,126.83265
1273,202109,중앙선,지평,208,167,121,150,83,135,37.476444,127.629617
1274,202109,경원선,한남,4311,10471,5217,4650,8229,4397,37.52943,127.009169
